77 0 0.010000 486.7764, 291.8952, 515.7294, 292.9114, 515.3367, 304.0982, 486.3838, 303.0820
77 1 0.040000 486.7649, 292.4771, 515.7197, 293.4930, 515.3264, 304.7023, 486.3717, 303.6865
77 2 0.070000 486.7393, 293.7719, 515.6981, 294.7869, 515.3035, 306.0464, 486.3447, 305.0315
77 3 0.110000 486.5041, 297.1168, 515.5316, 297.3500, 515.4425, 308.4419, 486.4149, 308.2086
77 4 0.140000 485.9445, 300.7014, 515.0089, 298.4971, 515.8441, 309.5095, 486.7797, 311.7137
77 5 0.170000 485.4022, 303.4211, 514.3663, 299.4804, 515.9257, 310.9420, 486.9616, 314.8827
77 6 0.200000 484.6573, 305.2350, 513.4626, 299.9443, 515.6350, 311.7718, 486.8297, 317.0625
77 7 0.240000 483.2374, 306.0726, 511.8829, 299.8837, 514.5056, 312.0227, 485.8601, 318.2116
77 8 0.270000 481.8239, 305.5754, 510.4523, 299.4465, 513.0862, 311.7494, 484.4578, 317.8783
77 9 0.310000 479.3711, 304.0018, 507.9725, 298.0326, 510.6047, 310.6445, 482.0032, 316.6137
77 10 0.340000 477.2009, 302.3656, 505.7820, 296.6762, 508.3031, 309.3410, 479.7219, 315.0303
77 11 0.370000 474.8396, 300.4357, 503.3609, 295.2337, 505.6408, 307.7339, 477.1196, 312.9359
77 12 0.400000 472.1641, 298.6007, 500.5272, 293.3316, 502.8014, 305.5733, 474.4382, 310.8424
77 13 0.440000 468.4111, 295.1943, 496.7318, 290.9221, 498.5819, 303.1870, 470.2613, 307.4592
77 14 0.470000 465.4978, 292.2228, 493.8022, 289.1680, 495.1462, 301.6212, 466.8418, 304.6759
77 15 0.500000 462.3694, 289.7638, 490.5371, 287.1540, 491.6849, 299.5430, 463.5173, 302.1527
77 16 0.540000 458.3006, 286.1069, 486.2864, 285.0455, 486.7612, 297.5642, 458.7754, 298.6256
77 17 0.570000 455.3291, 283.4601, 483.0808, 283.8404, 482.9081, 296.4477, 455.1564, 296.0674
77 18 0.610000 451.3202, 280.5226, 478.6583, 282.4079, 477.7931, 294.9550, 450.4549, 293.0697
77 19 0.640000 448.2228, 278.8027, 475.2475, 281.3304, 474.0902, 293.7032, 447.0655, 291.1756
77 20 0.670000 445.3417, 276.9349, 471.9455, 280.5814, 470.2673, 292.8248, 443.6635, 289.1783
77 21 0.700000 442.2997, 275.5580, 468.5837, 279.5940, 466.7430, 291.5812, 440.4590, 287.5451
77 22 0.740000 438.4437, 273.6911, 464.2628, 278.3657, 462.1476, 290.0486, 436.3285, 285.3739
77 23 0.770000 435.8180, 272.1186, 461.1924, 277.5942, 458.7158, 289.0710, 433.3414, 283.5954
77 24 0.800000 433.0045, 270.9950, 458.1505, 276.3929, 455.7500, 287.5756, 430.6040, 282.1777
77 25 0.840000 429.6686, 269.1723, 454.3954, 274.9204, 451.8719, 285.7757, 427.1451, 280.0275
77 26 0.870000 427.4202, 267.6561, 451.7927, 273.8082, 449.1061, 284.4517, 424.7336, 278.2996
77 27 0.900000 425.0702, 266.4520, 449.2971, 272.2946, 446.7893, 282.6933, 422.5625, 276.8508
77 28 0.940000 422.2626, 264.7025, 446.2555, 270.2602, 443.9177, 280.3526, 419.9248, 274.7949
77 29 0.970000 420.5106, 263.1077, 444.2258, 268.9215, 441.7964, 278.8312, 418.0812, 273.0175
77 30 1.000000 418.5660, 262.0567, 442.2390, 267.1494, 440.1646, 276.7918, 416.4916, 271.6991
77 31 1.040000 416.3604, 260.4677, 439.8641, 265.1439, 437.9558, 274.7351, 414.4521, 270.0589
77 32 1.070000 414.8309, 259.3713, 438.2252, 263.7108, 436.4386, 273.3428, 413.0442, 269.0033
77 33 1.110000 412.8765, 258.0842, 436.1915, 261.7547, 434.6422, 271.5960, 411.3272, 267.9254
77 34 1.140000 411.4278, 257.3881, 434.7056, 260.2755, 433.4597, 270.3195, 410.1820, 267.4321
77 35 1.170000 410.1754, 256.6250, 433.3486, 259.2477, 432.2048, 269.3538, 409.0316, 266.7311
77 36 1.210000 408.5012, 255.9089, 431.5589, 257.8363, 430.7018, 268.0898, 407.6441, 266.1625
77 37 1.240000 407.2399, 255.5886, 430.2042, 256.7614, 429.6742, 267.1385, 406.7100, 265.9658
